,Ссылка,Дата,Заголовок,Текст
0,https://www.vedomosti.ru/ecology/climate/articles/2022/12/08/954315-energetika-nulevim-sledom, 08.12.2022,    Энергетика с нулевым следом  ,"Россия, занимая 2-е место среди стран Европы по мощности атомной генерации, успешно реализует цели устойчивого развития ООНКлиматическая повестка, декарбонизация, зеленая энергетика — эти понятия стали неотъемлемой частью деятельности мировых общественных организаций и ответственного бизнеса. Все крупнейшие энергетические компании, в том числе российские атомщики, основные поставщики экологически чистой электроэнергии в России, много лет ведут работу в этом направлении. На атомную энергетику приходится 20% российской генерации, а углеродный след от нее практически равен нулю.Зачем бороться с глобальным потеплениемГлавная цель Парижского соглашения 2015 г. в рамках конвенции ООН об изменении климата состоит в том, чтобы удержать рост глобальной температуры на уровне ниже 2 °C по сравнению с доиндустриальным уровнем и приложить усилия для ограничения повышения температуры до 1,5 °C. Это обусловлено научным консенсусом в отношении того, что ограничение роста парникового эффекта значительно снизит риски, связанные с изменением климата. Однако выбросы углекислого газа, связанные с энергетикой, продолжают расти: согласно данным Международного энергетического агентства (МЭА), в 2021 г. они выросли на 6% до 36,3 млрд т, самого высокого уровня за всю историю. Согласно заключению Межправительственной группы экспертов по изменению климата (МГЭИК) ООН, опубликованному в прошлом году, выбросы парниковых газов на нынешнем уровне приведут к нарушению климатического баланса и необратимым изменениям в окружающей среде чуть более чем через 10 лет, что говорит о необходимости практических действий по борьбе с глобальным потеплением уже сейчас.Зеленые тона атомной энергетикиДва года назад Зион Лайтс, британская писательница и экоактивистка, пресс-секретарь международной экологической и антиядерной организации «Восстание против вымирания» (Extinction Rebellion), перешла на сторону развития атомной энергетики и присоединилась к международному проядерному экологическому движению «Экологический прогресс» (Environmental Progress). Свое решение она объяснила тем, что была подвержена антинаучным настроениям и согласилась, что использование атомной энергетики важно для сдерживания темпа глобального потепления. «Что если вы посвятили большую часть своей жизни попыткам спасти планету, — написала она в журнале Quillette, — но потом поняли, что, возможно, на самом деле усугубили ситуацию?»Этот вопрос сегодня крайне актуален для многих экологов. За последние полвека наблюдается большой прогресс в уменьшении загрязнения воздуха и воды, сохранении и защите дикой природы, но, когда речь идет о борьбе с глобальным потеплением, оказывается, что намеченные странами и компаниями планы по декарбонизации попросту не могут быть выполнены. Согласно исследованию консалтинговой компании Accenture, более трети из 2000 крупнейших государственных и частных компаний мира публично заявили о целях по нулевым выбросам, но 93% из них не могут достичь этих целей исходя из текущих социально-экономических условий.Пример такого подхода — госкорпорация «Росатом», которая за 15 лет существования стала одной из лучших генерирующих компаний с точки зрения экологии. «В Росатоме разработана экологическая стратегия, направленная на предотвращение угрозы изменения климата, которая определяет соблюдение всех необходимых стандартов в области ESG, в том числе международных», — отметил член общественного совета Росатома Валерий Меньщиков.Проблемой остается и затянувшаяся «война» против атомной энергетики, единственной технологии, демонстрирующей способность резко сократить выбросы углекислого газа в мире. «Когда случаются экологические протесты, как это было, например, не так давно при строительстве АЭС в Индии, мы проводим кропотливую и порой длительную разъяснительную работу. Это непростая задача, ведь в прошлом в мировой атомной энергетике случались катастрофы. Нам необходимо показать, что мы строим наиболее передовые в мире по безопасности конструкции реакторов энергоблоки поколения «три плюс», которые уже работают, например, на Нововоронежской АЭС или на Ленинградской АЭС. Мы выиграли тендер на строительство двух энергоблоков на АЭС «Пакш-2» в Венгрии, показав уже после аварии на Фукусиме, что можем строить безопасные блоки», — рассказал Меньщиков.Мирный атом как сторона «Зеленого квадрата»Несмотря на противодействие антиядерных экоактивистов, атомная энергетика признана одним из наиболее низкоуглеродных источников энергии наряду с ветровой, солнечной и гидрогенерацией. Тезис о низкоуглеродной природе атомной энергетики был озвучен экспертами при подготовке первой редакции Таксономии ЕС в 2020 г.: «Подтверждение потенциального существенного вклада ядерной энергии в достижение целей по смягчению последствий изменения климата является достаточным и ясным».В отчете, подготовленном группой экспертов Европейской экономической комиссии ООН в прошлом году, говорится, что атомная энергия играет решающую роль в обезуглероживании энергетического сектора.Как сформулировала государственная корпорация «Росатом» в своей концепции «Зеленый квадрат», для снижения темпов глобального потепления нужно сделать ставку на четыре вида энергетики: ветровую, солнечную, гидроэнергетику и атомную.О том, как ядерная энергия помогает сократить выбросы и как она может способствовать устойчивому достижению нулевого уровня выбросов в будущем, велась речь на прошедшем в ноябре этого года ежегодном климатическом саммите ООН (COP27) в Шарм-эль-Шейхе (Египет). В частности, генеральный директор Международного агентства по атомной энергии (МАГАТЭ) Рафаэль Гросси заявил, что ядерная наука и технологии являются частью решения проблем как по снижению выбросов парниковых газов, так и по адаптации к последствиям изменения климата: «Все больше государств, практически не имеющих ядерного опыта, обращаются к нам за советом по достижению своих целей в области климата с помощью ядерной энергии».Все дискуссии и исследования сходятся в одном: декарбонизация энергетических систем требует использования всех низкоуглеродных технологий, включая атомную энергетику, достижение глобальных климатических целей без ее использования невозможно.ЕС подтвердил экологический статус атомной энергетикиБазовым документом для закрепления зеленого статуса отрасли является Таксономия либо аналогичный документ. Наиболее проработанной и детальной на сегодня является Таксономия ЕС, на которую ориентируются страны при разработке национального зеленого регулирования.В начале 2022 г. в Дополнительном делегированном акте (ДДА) к Таксономии были опубликованы критерии для признания проектов в области атомной генерации в числе устойчивых видов деятельности, при этом атомная генерация была отнесена к переходным видам деятельности как низкоуглеродный стабильный источник энергии, способствующий переходу к возобновляемым источникам энергии (ВИЭ).Согласно данным МГЭИК, в течение жизненного цикла атомная энергия производит примерно такое же количество выбросов в эквиваленте углекислого газа на единицу электроэнергии, что и ветер, половину выбросов, которые производит гидроэнергетика, и одну четверть выбросов на единицу электроэнергии по сравнению с солнечной энергетикой.Одно из основных требований, упомянутых в Таксономии ЕС, универсально для всех видов генерации электроэнергии — это непревышение выбросов парниковых газов массой 100 г в эквиваленте углекислого газа на 1 кВт ч на всем жизненном цикле электростанции. Аналогично выбросам при генерации ВИЭ прямые выбросы АЭС близки к нулю (среднее значение для АЭС — 5,5 г за весь жизненный цикл), и с соблюдением этого критерия проблем нет.Однако, учитывая технологическую сложность атомной энергетики, зеленое регулирование предъявляет к ней дополнительные требования. Необходимо подтвердить безопасность эксплуатации АЭС, т. е. устойчивость к внешним экстремальным воздействиям, а также минимизацию негативного воздействия АЭС на окружающую среду.Подразумевается соблюдение международных стандартов безопасности МАГАТЭ и Западноевропейской ассоциации органов регулирования ядерной безопасности (WENRA), а также предоставление соответствующей отчетности в надзорные национальные и международные органы (РФ регулярно представляет в МАГАТЭ национальные доклады о выполнении обязательств в соответствии со ст. 5 Конвенции о ядерной безопасности 1994 г.).Сформулированы также критерии в части ядерного топливного цикла (ЯТЦ). В частности, это стремление к замыканию ЯТЦ и к минимальному образованию радиоактивных отходов (переход к реакторам IV поколения и замкнутому ЯТЦ). У России, как одного из лидеров в области ядерной энергетики, имеются технологии переработки отработанного ядерного топлива, поэтому российское регулирование квалифицирует его как ресурс, а не как отход, что по смыслу соотносится с требованием ДДА Таксономии ЕС о стремлении к переходу к экономике замкнутого цикла.Российские АЭС и ЦУР ООНАтомная энергетика России, занимая 2-е место среди стран Европы по мощности атомной генерации после Франции, позволяет ежегодно экономить более 100 млн т выбросов парниковых газов (в эквиваленте CO2), а атомные станции в РФ и действующие за рубежом АЭС российского дизайна в 2021 г., согласно публичной отчетности Росатома, позволили предотвратить 208 млн т выбросов. «Когда мы строим АЭС за рубежом — а мы являемся мировыми лидерами в этой отрасли, сооружая на сегодняшний момент 20 энергоблоков в разных странах, — мы проходим проверку по всем критериям, которые могут оказывать влияние на экологическую обстановку», — уточнил Меньщиков.Вся атомная генерация страны входит в госкорпорацию «Росатом», и требования в области экологии описаны в «Единой отраслевой экологической политике», принятой в 2008 г. По рейтингу журнала Forbes Росатом входит в первую пятерку самых экологичных российских компаний. Его затраты на охрану окружающей среды, согласно данным корпорации, в 2021 г. составили 20,5 млрд руб.Деятельность Росатома оказывает влияние на реализацию всех 17 целей устойчивого развития (ЦУР), установленных в 2015 г. резолюцией ООН «Преобразование нашего мира: Повестка дня в области устойчивого развития на период до 2030 года».В первую очередь, это ЦУР 7 — «Обеспечение всеобщего доступа к недорогим, надежным, устойчивым и современным источникам энергии для всех». «Абсолютно убежден: ядерная энергетика должна быть включена в седьмую ЦУР ООН. Уже несколько лет продвигаем данную позицию на всех международных площадках, в которых принимаем участие», — прокомментировал программный директор Глобального финансового форума Ecumene Сергей Рыбаков.Безопасность АЭС, сооруженных по российским проектам с водо-водными энергетическими реакторами (ВВЭР), подтверждена стресс-тестами на соответствие «постфукусимским» требованиям. Например, реактор ВВЭР-1200 отличается повышенной на 20% мощностью при сопоставимых с предыдущими проектами размерах оборудования, сроком службы в 60 лет, возможностью маневра генерируемой мощностью в интересах энергосистемы, высоким коэффициентом использования установленной мощности (90%) и возможностью работать 18 месяцев без перегрузки топлива.Российская атомная промышленность, как и мировая, поддерживает широкий спектр рабочих мест, что соответствует ЦУР 8 («Достойная работа и экономический рост»). Сооружение и эксплуатация АЭС с двумя энергоблоками обеспечивают занятость более 10 000 россиян в сфере ядерной инфраструктуры. При этом не стоит забывать, что атомная энергетика, как правило, требует меньше минеральных ресурсов, чем другие источники энергии: ее основным сырьем является уран, а ресурсы урана обширны и широко распространены по всему миру, что соответствует ЦУР 12 («Ответственное потребление и производство»).Повестка устойчивого развития активно прорабатывается Росатомом на профильных международных площадках — конференциях МАГАТЭ и Всемирной ядерной ассоциации (WNA), что соответствует ЦУР 17 («Партнерство для достижения целей»). Помимо атомных площадок Росатом является активным участником обсуждений по тематике устойчивого развития Всемирного энергетического совета (World Energy Council).Несмотря на изменение внешних обстоятельств, амбициозные цели госкорпорации в сфере устойчивого развития остаются в силе.В Росатоме считают, что деятельность госкорпорации остается в русле глобальной ESG-повестки, которая в течение последних нескольких лет стала главным трендом мирового бизнес-сообщества. Концепция устойчивого развития, которой придерживается Росатом, подразумевает эффективное использование ресурсов, гармоничное развитие местных сообществ, что соответствует целям и задачам национальных проектов России.-"
1,https://www.vedomosti.ru/ecology/science_and_technology/articles/2022/12/08/954309-rossiya-stanet-samim-moschnim-ledokolom-v-mire, 08.12.2022,    «Россия» станет самым мощным ледоколом в мире  ,"Леонид Ирлица: «Без атомных ледоколов невозможна эффективная эксплуатация акватории Северного морского пути»И. о. генерального директора ФГУП «Атомфлот», рассказал корреспонденту «Ведомости. Экологии» о технических особенностях универсальных ледоколов серии 22220, сверхмощных атомоходов проекта 105010, областях их применения и задачах, которые они будут решать в ближайшие десятилетия.- 29 ноября универсальный атомный ледокол «Урал» серии 22220 прибыл в порт приписки Мурманск. Неделей раньше в Санкт-Петербурге был спущен на воду ледокол «Якутия» этой же серии. В чем особенность судов этого проекта, какие технологические новшества в них применены?- 2 декабря атомоход «Урал» вышел в первый рабочий рейс. Экипажу атомохода предстоит работать в Обь-Енисейском районе Карского моря. Что касается ледокола «Якутия», его спуск на воду является завершением одного из этапов строительства. Ввод в эксплуатацию атомохода запланирован на конец 2024 г.Сейчас в акватории Севморпути работает два судна проекта 22220 — головной универсальный атомный ледокол «Арктика» и первый серийный универсальный атомный ледокол «Сибирь».Атомные ледоколы этой серии — наглядная демонстрация самодостаточности страны в технологической и промышленной отраслях. Более 90% оборудования на них произведено отечественными компаниями. Это принципиально новый проект, разработанный ЦКБ «Айсберг». Двухосадочная конструкция судна позволяет использовать его как в арктических водах, так и в устьях полярных рек, в частности на мелководных участках Енисея (дудинское направление) и Обской губы. Кроме того, улучшена ледопроходимость судов. Если атомный ледокол «50 лет Победы» способен преодолевать лед толщиной 2,8 м, то атомоходы проекта 22220 — до 3 м.Отдельно стоит отметить систему электродвижения переменного тока с асинхронными гребными электродвигателями. Это первая российская разработка, позволяющая получить пакетное решение для управления ледоколом в любых режимах. Эффективная эксплуатация этих судов станет определяющим фактором устойчивого развития судоходства в акватории Северного морского пути.Ледоколы проекта 22220 оснащаются двухреакторными силовыми установками нового поколения «РИТМ-200» мощностью 175 МВт, специально разработанными для этих судов. «РИТМ-200» — инновационная, не имеющая зарубежных аналогов полностью отечественная разработка одного из старейших конструкторских бюро атомной отрасли — «ОКБМ Африкантов» (Нижний Новгород, входит в состав АО «Атомэнергомаш»). Она была спроектирована на основе опыта создания и эксплуатации реакторных установок атомных ледоколов с учетом современных тенденций развития мировой атомной энергетики. Это двухреакторная установка с реакторами тепловой мощностью 175 МВт каждый. «РИТМ-200» почти в 2 раза легче и компактнее предшествующих атомных установок и, соответственно, дешевле. Он менее материалоемок и занимает меньше места на судне, а следовательно, экономически эффективнее. Конструктивно такое решение достигается благодаря тому, что парогенераторы, которые раньше находились вне реактора, теперь располагаются непосредственно в нем (интегральная компоновка).- Вице-премьер Виктория Абрам-ченко приняла участие в спуске «Якутии» на воду. По ее словам, «Якутия» станет самым экологичным ледоколом этого класса. Как можно проиллюстрировать это утверждение?- В 2021 г. «Атомфлот» стал обладателем национальной премии в области национальной географии, экологии, сохранения и популяризации природного и историко-культурного наследия России «Хрустальный компас». В номинации «Лучший экологический проект промышленных предприятий и бизнеса» победа присуждена «Атомфлоту», ЦКБ «Айсберг» и Балтийскому заводу за проект «Головной универсальный атомный ледокол «Арктика» проекта 22220». Эти ледоколы обладают исключительными техническими характеристиками и отвечают самым высоким требованиям радиационной безопасности.- Чем ледоколы серии 22220 отличаются от строящегося ледокола проекта 105010 «Россия», который, как предполагается, станет самым мощным в мире?- Головной атомный ледокол «Россия» будет оснащен реакторами «РИТМ-400». Суммарная мощность ледокола составит 120 МВт, что позволит судну преодолевать льды толщиной до 4 м. Атомоход сможет прокладывать канал шириной около 50 м. Принципиально новая задача для ледокола — не просто проложить канал при максимальной ледопроходимости, а обеспечить коммерчески обоснованную скорость проводки транспортных судов в тяжелых ледовых условиях. Средняя толщина льда — около 2 м, коммерчески обоснованная скорость доставки грузов газовозами и танкерами — 12-14 узлов (22-26 км/ч). Требование обеспечить эти условия проводки было поставлено в техническом задании на ледокол.Ввод в эксплуатацию ледокола «Россия» позволит гарантировать безопасные и регулярные проводки в восточном районе Арктики и откроет новые возможности для коммерческих высокоширотных маршрутов. Планируется построить три ледокола проекта 10510.Контракт на строительство головного ледокола проекта 10510 подписан с дальневосточным судостроительным комплексом «Звезда» 23 апреля 2020 г., ввод судна в эксплуатацию запланирован на 2027 г.- Глобальное потепление меняет регион. В Третьем оценочном докладе Росгидромета говорится, что потепление в Арктической зоне будет продолжаться наиболее заметно в зимний сезон, площадь, занятая морским льдом на акватории Севморпути в сентябре, с 1990-х по 2010-е гг. сократилась в 6 раз с 1,2 млн до 200 000 кв. км и сохранится на этом уровне в ближайшие годы. Не станет ли такое количество атомоходов с учетом тех, которые будут построены, избыточным для Арктики?- В 2018 г. Арктический и антарктический НИИ подготовил для «Атомфлота» отчет «Прогнозные оценки состояния морского льда в период 2030-2050 гг.». В нем отмечается, что в целом ледовые условия в Северном Ледовитом океане (СЛО) в период 2030-2050 гг., по эмпирическим прогнозным оценкам, изменятся в сторону более легких. Но изменения будут незначительными по сравнению с современными.Ученые сделали вывод, что ледовые условия в СЛО в эти годы ожидаются более легкими с августа по октябрь. Сезонного исчезновения ледяного покрова в СЛО к 2050 г. не произойдет. Даже в самый легкий год акватория арктических морей будет свободна от льда только с августа по октябрь. На период 2030-2050 гг. придется фаза понижения температуры воздуха в ходе 74-летнего цикла и ледовые условия в арктических морях будут близкими к современным. Поэтому без атомных ледоколов представить эффективную эксплуатацию акватории Северного морского пути невозможно.- Какими еще задачами кроме проводки караванов по Севморпути занимается ледокольный флот «Росатома»? Для реализации каких научных исследований он привлекается?- «Атомфлот» участвует в выполнении работ по экологической реабилитации Северо-Западного региона России. Предприятие оказывает содействие российским ученым при обеспечении работ арктических экспедиций. Например, в 2022 г. в ходе каботажного рейса на борту атомного контейнеровоза «Севморпуть» специалисты Центра морских исследований (ЦМИ) МГУ им. М. В. Ломоносова провели экологический мониторинг акватории Северного морского пути. Полевые работы помогут дополнить недостающие данные о фауне морских акваторий российской Арктики и состоянии морской воды в осенне-предзимний период в границах Севморпути.Работы по проведению комплексных исследований и мониторинга надводной и подводной экологической безопасности в акватории Северного морского пути проводятся ЦМИ по заказу госкорпорации «Росатом» с 2021 г.-"
2,https://www.vedomosti.ru/ecology/science_and_technology/articles/2022/12/08/954298-alternativa-bolshomu-atomu, 08.12.2022,    Альтернатива «большому» атому  ,"АЭС малой мощности, ветроэлектростанции и системы накопления энергии — направления, которые активно развиваются в России благодаря предприятиям атомной отрасли страныИх работа не ограничивается строительством и эксплуатацией атомных электростанций большой мощности, проводкой караванов судов по Северному морскому пути и экомониторингом арктических территорий. Важное место занимает создание альтернативных большим АЭС источников энергии и способов их накопления. По ряду направлений атомная отрасль — признанный мировой лидер, практически не имеющий конкурентов на рынке.АЭС малой мощности для труднодоступных районов22 ноября на XII Международном форуме «Атомэкспо-2022» в Сочи прошло пленарное заседание «Большие возможности малой мощности», на котором обсуждались перспективы и актуальная повестка развития проектов атомных станций малой мощности (АСММ) в труднодоступных и изолированных регионах мира.Кирилл Комаров, первый заместитель генерального директора Росатома, отметил на заседании, что АСММ могут занять свою нишу в «энергомиксе» многих стран. Эти станции — низкоуглеродные источники энергии по предсказуемой на десятки лет цене, которые обеспечат потребителям энергонезависимость, что особенно актуально в текущей рыночной ситуации. «В мире есть запросы на экологичные, экономически обоснованные и гибкие решения для труднодоступных территорий, островных стран, освоения месторождений природных ресурсов, и АСММ идеально на них отвечают. К преимуществам таких проектов относятся компактность и модульность, т. е. возможность тиражировать модули по мере роста потребности в электроэнергии», -сказал Комаров.Заместитель генерального директора МАГАТЭ Михаил Чудаков рассказал, что сейчас у 20 стран существует более 80 проектов АСММ и в этом отношении Россия занимает лидирующие позиции, так как уже имеет готовые решения, в том числе благодаря накопленному опыту эксплуатации технологий малой мощности на атомном ледокольном флоте. По его словам, сегодня в мире наблюдается огромный интерес к технологиям малой мощности — в том числе со стороны таких стран, как Малайзия, Индонезия, Филиппины и Бразилия.Но прежде всего АСММ, разработкой которых Росатом давно и активно занимается, нужны самой России. Они позволят снять проблему энергообеспечения в отдаленных и труднодоступных районах, где сейчас она решается за счет ископаемого топлива, как правило дизельного — дорогостоящего и загрязняющего окружающую среду. В России к 2045 г. доля атомной энергетики должна вырасти с нынешних 20% до 25%, и АСММ внесут вклад в этот рост.Часть АСММ планируется в плавучем исполнении. Такой вариант более мобилен, универсален и привычен судостроителям, десятилетиями создававшим флот российских атомоходов. Более того, они предназначены для населенных пунктов, которые находятся на Севморпути. Первая плавучая атомная теплоэлектростанция (ПАТЭС) «Академик Ломоносов» два года назад была пришвартована в порту чукотского Певека, самого северного города России. Это 144-метровое судно, вырабатывающее до 70 МВт электрической и до 50 Гкал ч тепловой энергии.Успешный опыт использования ПАТЭС «Академик Ломоносов» позволит тиражировать плавучие энергоблоки, создавать их модификации и запускать в серийное производство. Этим занимается машиностроительный дивизион Росатома компания «Атомэнер-гомаш». Ближайшим проектом станет энергоснабжение Баимской рудной зоны на Чукотке. В рамках договора, заключенного в 2021 г., «Атомэнергомаш» поставит четыре АЭС электрической мощностью до 110 МВт каждая. Для Баимки будут построены модернизированные плавучие энергоблоки по доработанному проекту «Академика Ломоносова», в которых вместо реакторной установки КЛТ-40С установят «ледокольные» реакторы РИТМ-200 большей мощности.В Якутии будет построена наземная АСММ, в которой также будет использована установка РИТМ-200. Эта станция будет обеспечивать энергией золоторудное месторождение Кючюс, одно из крупнейших в России. Месторождение расположено за полярным кругом, на нем отсутствует энергетическая инфраструктура, необходимая для реализации проекта. Предполагается, что в 2028 г. будет начато использование электроэнергии АСММ — будет использоваться не менее 35 МВт мощности.Ветропарки от Дагестана до ЧукоткиРоссийская ветроэнергетика оказалась в сложном положении из-за ухода с рынка иностранных производителей ветрогенераторов и удорожания логистики поставок комплектующих. Сейчас над новыми проектами работает только «Новавинд», дивизион Росатома по ветроэнергетике. За три квартала нынешнего года шесть действующих ветроэлектростанций (ВЭС) «Новавинда» выработали более 1 млн МВт электроэнергии. Сейчас компания строит три ветропарка в Ставропольском крае. Один из них уже полностью готов. Берестовская ВЭС в Ставропольском крае прошла процедуру технического присоединения к сетям. Первые киловатты поступят в единую сеть России уже в январе 2023 г. В планах и другие регионы, в частности Дагестан.Работа в Дагестане может начаться в ближайшем будущем. В конце ноября «Новавиндом» и группой компаний «Экоэнерджи» было подписано соглашение о сотрудничестве в реализации проекта строительства Махачкалинской ВЭС установленной мощностью 12,5 МВт в Республике Дагестан. Ветропарк будет состоять из пяти ветроэнергетических установок мощностью 2,5 МВт каждая. Оборудование для строительства ветропарка будет изготовлено «Новавиндом» на собственных производственных мощностях в Ростовской области, а также в кооперации с отечественными партнерами проекта.Пока вся работа «Новавинда» сосредоточена на юге России. География будет расширяться в том числе за счет северных регионов. Например, на Чукотке часто дуют сильные ветры, но пока нет ве-тропарков. ВЭС могут дополнить АСММ для создания в регионе полноценной системы зеленого энергоснабжения. На Петербургском международном экономическом форуме в июне 2022 г. «Новавинд» и власти Чукотки договорились о сотрудничестве в области реализации проектов по ветроэнергетике. В республике до 2027 г. могут быть построены ветропарки общей установленной мощностью до 30 МВт.Росатом также ведет переговоры и о строительстве ВЭС во Вьетнаме, у которого среди стран Ассоциации государств Юго-Восточной Азии (ASEAN) самая масштабная программа развития ветроэнергетики. «Новавинд» и вьетнамская An Xuan Energy совместно прорабатывают возможность строительства ветропарка в центральной части провинции Шонла на северо-западе страны. Мощность станции — 128 МВт. Для «Новавинда» это первый зарубежный проект и часть стратегии по экспорту технологий.«У нас большой опыт в развитии ветроэнергетических проектов в России, и мы готовы применять наши знания за рубежом, — отметил гендиректор «Новавинда» Григорий Назаров. — Росатом уже реализует ряд проектов во Вьетнаме в сфере энергетики и науки, сейчас сотрудничество расширится. Развитие ветроэнергетики не только внесет вклад в энергетическую безопасность и индустриализацию региона, но и ускорит переход Вьетнама к энергетической модели, отвечающей целям устойчивого развития».Перспективный рынок электротранспортаРазвитие машин на автономной электротяге долгое время сдерживало несовершенство технологий накопления энергии, и Россия — одна из стран, которая занята решением этой проблемы. В Калининградской области началось строительство гигафабрики Росатома — завода по производству батарей для электромобилей. Производство отечественных литий-ионных аккумуляторов запустит РЭНЕРА, отраслевой интегратор в области систем накопления электроэнергии (входит в топливную компанию ТВЭЛ Росатома).В рамках выставки «Атомэкспо» РЭНЕРА представил прототип нового батарейного модуля на литий-ионных ячейках, созданный специально для широкой линейки электротранспортных средств по стандартам международного формата VDA. Преимущество нового поколения — использование новых ячеек с измененными габаритами, которые составят основную часть продукции будущей гигафабрики. Новый модуль легче и вмещает на 20% больше энергии по сравнению с предыдущим поколением. Масса модуля — 12,3 кг, он вмещает 2,66 кВт ч энергии.Область применения новой разработки не ограничивается электротранспортом. Благодаря небольшой высоте (не более 110 мм) его использование возможно в 19-дюймовых стойках в составе источников бесперебойного питания и телекоммуникационного оборудования в качестве резервного источника.«Наша разработка — это готовое решение под универсальные мировые электротранспортные стандарты. Благодаря новым техническим решениям мы предложим отечественному рынку конкурентоспособные батареи российского производства. В декабре начнется первая опытная эксплуатация батарей, построенных на универсальных модулях РЭНЕРА», — отметил Александр Камашев, генеральный директор РЭНЕРА.Эти модули будут использоваться и в электромобилях российского производства. В рамках «Атомэкс-по» прошел круглый стол на тему «Электродвижение как новая парадигма развития отрасли». Президент ТВЭЛ Наталья Никипелова рассказала о планах Росатома по широкому участию в производстве ключевых компонентов электротранспорта, в первую очередь для легковых электромобилей, а также об открытости к партнерству с ведущими игроками российского автопрома.Предприятия Росатома способны производить около 60% всех компонентов электромобилей, включая аккумуляторные батареи, локализованные электродвигатели, магниты из редкоземельных сплавов, микроэлементную базу, полимерные и композитные материалы. Поскольку около 40% стоимости электромобиля приходится на батарею, президент ТВЭЛ подчеркнула, что для снижения стоимости владения автомобилем необходима унификация существующих на рынке батарей и обеспечение конструкции для легкой замены аккумулятора.После окончания эксплуатации в электротранспорте аккумуляторы могут использоваться в стационарных системах накопления электроэнергии. В частности, они могут быть встроены в сети зарядных станций, для чего также требуется унификация технических решений. Это повысит рентабельность батареи в ее жизненном цикле и позволит поставлять ее производителям транспорта по более низкой цене.Одна из главных проблем для производства литий-ионных батарей — отсутствие у российских производителей собственной сырьевой базы. Россия обладает крупными запасами лития, но в XXI в. добыча не велась — импортировать металл было выгоднее, чем производить самим. Но цены на литий выросли более чем в 10 раз с конца 2020 г. и будут оставаться высокими в среднесрочной перспективе. Поэтому о планах производства лития из собственного сырья уже объявили четыре российские компании, в том числе Росатом. Госкорпорация совместно с «Норникелем» заявляли о планах совместной добычи лития на крупнейшем в стране Колмозерском месторождении в Мурманской области (18,9% запасов РФ, 75 млн т руды). Росатом рассчитывает, что правительство в этом году примет решение выставить месторождение на аукцион.Есть альтернативный вариант — участие в зарубежных проектах. Российские и китайские фирмы лидируют в конкурсе на контракт по добыче лития в Боливии, сообщило издание Financial Times. По оценкам геологической службы США, Боливия обладает самыми большими в мире залежами лития. Его очень много в солончаковой пустыне Салар-де-Уюни на юго-западе Боливии, по которой и объявлен конкурс. Под твердой коркой находится жидкий рассол с концентрацией лития в 0,3%. Но получаемый из солончаков литий очень сложно очистить до нужного уровня, из-за того что в рассоле содержатся близкие по ряду химических свойств соединения магния.От России на добычу претендует Uranium One Group, входящая в «Техснабэкспорт» Росатома. Победитель заключит контракт с боливийской государственной компанией Yacimientos de Litio Bolivianos.Развитие Росатомом перспективных направлений производства энергии продолжится.-"
